Drug_ID,Metric,Val_Shuffled_Mean,Val_Unshuffled_Mean,Val_Difference,Val_Significant_T,Val_Significant_MW,Val_P_Value_T,Val_P_Value_MW,Val_Effect_Size,Test_Shuffled_Mean,Test_Unshuffled_Mean,Test_Difference,Test_Significant_T,Test_Significant_MW,Test_P_Value_T,Test_P_Value_MW,Test_Effect_Size,N_Shuffled,N_Unshuffled
127,Pearson Correlation,0.6994,0.7153,-0.0159,No,No,0.1623,0.0912,Small,0.6797,0.6817,-0.0019,No,No,0.8314,0.6616,Small,50,50
127,Spearman Correlation,0.5867,0.5879,-0.0012,No,No,0.9254,0.6867,Small,0.5638,0.5623,0.0015,No,No,0.8957,0.7669,Small,50,50
127,R² Score,0.4859,0.5077,-0.0218,No,No,0.1680,0.0987,Small,0.4474,0.4508,-0.0033,No,No,0.8020,0.6995,Small,50,50
151,Pearson Correlation,0.7030,0.7045,-0.0015,No,No,0.8651,0.8388,Small,0.6737,0.6727,0.0010,No,No,0.9034,0.8632,Small,50,50
151,Spearman Correlation,0.6667,0.6698,-0.0031,No,No,0.7668,0.7564,Small,0.6372,0.6326,0.0046,No,No,0.6633,0.5602,Small,50,50
151,R² Score,0.4876,0.4910,-0.0034,No,No,0.7824,0.7459,Small,0.4411,0.4387,0.0024,No,No,0.8189,0.8958,Small,50,50
188,Pearson Correlation,0.5990,0.5979,0.0010,No,No,0.9215,0.9094,Small,0.5868,0.5794,0.0074,No,No,0.5016,0.5282,Small,50,50
188,Spearman Correlation,0.5576,0.5476,0.0100,No,No,0.4091,0.4219,Small,0.5399,0.5315,0.0084,No,No,0.4608,0.4884,Small,50,50
188,R² Score,0.3527,0.3548,-0.0021,No,No,0.8594,0.9533,Small,0.3320,0.3146,0.0174,No,No,0.1989,0.2344,Small,50,50
201,Pearson Correlation,0.0296,0.0397,-0.0101,No,No,0.6980,0.5059,Small,0.0101,0.0286,-0.0185,No,No,0.3991,0.6716,Small,50,50
201,Spearman Correlation,0.0184,0.0273,-0.0090,No,No,0.7370,0.7277,Small,0.0143,0.0238,-0.0096,No,No,0.6752,0.8931,Small,50,50
201,R² Score,-0.0873,-0.0753,-0.0119,No,No,0.4783,0.1251,Small,-0.0986,-0.1028,0.0042,No,No,0.8208,0.9560,Small,50,50
244,Pearson Correlation,0.5454,0.5547,-0.0093,No,No,0.4790,0.6666,Small,0.5173,0.5159,0.0014,No,No,0.9179,0.8442,Small,50,50
244,Spearman Correlation,0.5317,0.5399,-0.0082,No,No,0.5292,0.4023,Small,0.5254,0.5211,0.0043,No,No,0.7071,0.5742,Small,50,50
244,R² Score,0.2942,0.3035,-0.0093,No,No,0.5104,0.7748,Small,0.2429,0.2411,0.0018,No,No,0.9224,0.7329,Small,50,50
273,Pearson Correlation,0.5790,0.5919,-0.0129,No,No,0.2452,0.4003,Small,0.5516,0.5521,-0.0006,No,No,0.9639,0.9945,Small,50,50
273,Spearman Correlation,0.5253,0.5289,-0.0036,No,No,0.8003,0.8686,Small,0.5153,0.5097,0.0057,No,No,0.7078,0.8713,Small,50,50
273,R² Score,0.3303,0.3451,-0.0148,No,No,0.2418,0.2685,Small,0.2847,0.2885,-0.0038,No,No,0.8187,0.8958,Small,50,50
298,Pearson Correlation,0.5414,0.5537,-0.0123,No,No,0.7402,0.6867,Small,0.5339,0.4921,0.0418,No,No,0.1396,0.1176,Small,50,50
298,Spearman Correlation,0.0851,0.1031,-0.0180,No,No,0.3533,0.1506,Small,0.0851,0.1168,-0.0317,No,No,0.0617,0.0725,Small,50,50
298,R² Score,0.3102,0.3110,-0.0008,No,No,0.9828,0.8740,Small,0.1135,-0.1123,0.2258,No,No,0.0887,0.0688,Small,50,50
380,Pearson Correlation,0.5291,0.5473,-0.0182,No,No,0.2017,0.2121,Small,0.4742,0.4733,0.0009,No,No,0.9459,0.9862,Small,50,50
380,Spearman Correlation,0.5058,0.5045,0.0014,No,No,0.9250,0.9972,Small,0.4687,0.4582,0.0105,No,No,0.3705,0.4971,Small,50,50
380,R² Score,0.2761,0.2968,-0.0207,No,No,0.1809,0.2641,Small,0.1996,0.2035,-0.0039,No,No,0.8028,0.6666,Small,50,50
5,Pearson Correlation,0.6270,0.5849,0.0421,Yes,Yes,0.0003,0.0005,Medium,0.5795,0.5660,0.0135,No,No,0.2057,0.1420,Small,50,50
5,Spearman Correlation,0.5865,0.5469,0.0396,Yes,Yes,0.0009,0.0022,Medium,0.5417,0.5330,0.0088,No,No,0.4020,0.2482,Small,50,50
5,R² Score,0.3877,0.3381,0.0496,Yes,Yes,0.0003,0.0006,Medium,0.3152,0.3029,0.0123,No,No,0.3866,0.2496,Small,50,50
57,Pearson Correlation,0.2780,0.2853,-0.0074,No,No,0.6731,0.7695,Small,0.2417,0.2598,-0.0181,No,No,0.1663,0.2371,Small,50,50
57,Spearman Correlation,0.2455,0.2643,-0.0188,No,No,0.2207,0.2510,Small,0.2419,0.2543,-0.0124,No,No,0.3532,0.4339,Small,50,50
57,R² Score,0.0688,0.0709,-0.0021,No,No,0.8362,0.8713,Small,0.0248,0.0391,-0.0143,No,No,0.2141,0.2263,Small,50,50
80,Pearson Correlation,0.4915,0.4944,-0.0029,No,No,0.8819,0.8659,Small,0.4909,0.4935,-0.0025,No,No,0.8679,0.9917,Small,50,50
80,Spearman Correlation,0.3717,0.3672,0.0045,No,No,0.8003,0.6148,Small,0.3765,0.3690,0.0075,No,No,0.5900,0.4734,Small,50,50
80,R² Score,0.2376,0.2433,-0.0057,No,No,0.7650,0.7251,Small,0.2116,0.2066,0.0050,No,No,0.7525,0.8281,Small,50,50
99,Pearson Correlation,0.6500,0.6587,-0.0087,No,No,0.3240,0.2371,Small,0.6310,0.6214,0.0096,No,No,0.2314,0.2745,Small,50,50
99,Spearman Correlation,0.6206,0.6172,0.0035,No,No,0.7481,0.7695,Small,0.6055,0.5946,0.0108,No,No,0.2474,0.2398,Small,50,50
99,R² Score,0.4145,0.4260,-0.0114,No,No,0.3022,0.2525,Small,0.3816,0.3734,0.0082,No,No,0.4368,0.4670,Small,50,50
